"Year","Variable","Value","Type"
2026,"RT_Electricity",498877.995086151,"Forecast"
2026,"Kom_Oil_products",7927.40290749137,"Forecast"
2026,"Kom_Natural_gas",0,"Forecast"
2026,"Kom_Biofuels_and_waste",14839.3842041274,"Forecast"
2026,"Kom_Electricity",322288.76121934,"Forecast"
2027,"Ind_Coal_and_coal_products",2060070.04688486,"Forecast"
2027,"Ind_Natural_gas",614265.610365609,"Forecast"
2027,"Ind_Biofuels_and_waste",349217.258866927,"Forecast"
2027,"Ind_Electricity",1109222.89886538,"Forecast"
2027,"Ind_Oil_and_oil_products",53155.8701553974,"Forecast"
2027,"RT_Oil_products",480397.73306513,"Forecast"
2027,"RT_Natural_gas",19175.2665083069,"Forecast"
2027,"RT_Biofuels_and_waste",184003.768293795,"Forecast"
2027,"RT_Electricity",509158.601780035,"Forecast"
2027,"Kom_Oil_products",0,"Forecast"
2027,"Kom_Natural_gas",0,"Forecast"
2027,"Kom_Biofuels_and_waste",15696.0812170838,"Forecast"
2027,"Kom_Electricity",343776.562722284,"Forecast"
2028,"Ind_Coal_and_coal_products",2665404.43920287,"Forecast"
2028,"Ind_Natural_gas",589133.533672589,"Forecast"
2028,"Ind_Biofuels_and_waste",326036.387949078,"Forecast"
2028,"Ind_Electricity",1219094.31957437,"Forecast"
2028,"Ind_Oil_and_oil_products",0,"Forecast"
2028,"RT_Oil_products",494399.681180451,"Forecast"
2028,"RT_Natural_gas",24391.2693631998,"Forecast"
2028,"RT_Biofuels_and_waste",217264.222289547,"Forecast"
2028,"RT_Electricity",513945.88951041,"Forecast"
2028,"Kom_Oil_products",0,"Forecast"
2028,"Kom_Natural_gas",0,"Forecast"
2028,"Kom_Biofuels_and_waste",16386.5763943887,"Forecast"
2028,"Kom_Electricity",358139.531639855,"Forecast"
2029,"Ind_Coal_and_coal_products",3350279.81230429,"Forecast"
2029,"Ind_Natural_gas",576210.371145628,"Forecast"
2029,"Ind_Biofuels_and_waste",288140.249656287,"Forecast"
2029,"Ind_Electricity",1369755.78206501,"Forecast"
2029,"Ind_Oil_and_oil_products",0,"Forecast"
2029,"RT_Oil_products",514174.290132208,"Forecast"
2029,"RT_Natural_gas",30394.4501658117,"Forecast"
2029,"RT_Biofuels_and_waste",262199.384634717,"Forecast"
2029,"RT_Electricity",513746.929827307,"Forecast"
2029,"Kom_Oil_products",0,"Forecast"
2029,"Kom_Natural_gas",0,"Forecast"
2029,"Kom_Biofuels_and_waste",16849.1963851417,"Forecast"
2029,"Kom_Electricity",375252.016112037,"Forecast"
2030,"Ind_Coal_and_coal_products",4198366.66461518,"Forecast"
2030,"Ind_Natural_gas",560215.049844429,"Forecast"
2030,"Ind_Biofuels_and_waste",234627.122788909,"Forecast"
2030,"Ind_Electricity",1541873.11378215,"Forecast"
2030,"Ind_Oil_and_oil_products",0,"Forecast"
2030,"RT_Oil_products",526993.12759147,"Forecast"
2030,"RT_Natural_gas",37334.5243670742,"Forecast"
2030,"RT_Biofuels_and_waste",311454.949853681,"Forecast"
2030,"RT_Electricity",503557.063605935,"Forecast"
2030,"Kom_Oil_products",0,"Forecast"
2030,"Kom_Natural_gas",0,"Forecast"
2030,"Kom_Biofuels_and_waste",17517.1283354267,"Forecast"
2030,"Kom_Electricity",400235.472691824,"Forecast"
